segmentNo	firstIdx	肝	心	脾	肺	腎	精	氣	神	血	痰	鬱	陰	陽	表	裏	寒	熱	虛	實	風	暑	濕	燥	火
59	403738	17	22	35	16	30	5	93	14	34	17	12	41	37	11	10	52	88	59	16	36	9	78	5	26
60	410699	35	32	23	16	62	25	129	9	48	22	13	44	19	7	10	44	70	43	17	28	4	63	25	41
61	417660	9	32	17	22	32	13	135	6	88	31	21	37	24	3	4	24	86	60	18	5	4	15	5	35
62	424621	4	19	15	23	15	4	119	14	81	65	19	34	19	4	3	29	55	56	20	27	5	21	10	73
63	431582	10	56	21	14	16	3	78	35	50	66	15	56	56	9	5	51	105	75	13	53	3	21	12	75
64	438543	10	29	14	17	26	38	95	9	107	31	10	45	48	1	1	26	51	42	11	14	2	11	8	37
65	445504	13	35	27	6	9	11	97	14	111	16	12	37	30	1	1	24	71	49	4	26	2	19	6	26
66	452465	2	46	10	2	7	4	59	17	81	14	1	10	5	2	0	38	62	53	8	28	2	14	3	16
67	459426	48	52	40	48	38	2	80	15	37	22	6	11	12	1	6	43	93	44	14	72	1	8	3	20
68	466387	18	45	48	10	7	1	43	14	11	62	5	10	15	3	6	17	81	19	7	94	2	6	1	16
69	473348	8	28	18	9	26	4	59	7	20	14	3	18	15	2	2	26	66	22	5	45	4	12	1	9
70	480309	5	26	23	16	12	2	67	15	15	9	0	6	5	3	3	16	90	36	13	18	0	8	2	7
71	487270	9	28	16	8	5	2	66	12	58	9	3	25	21	32	29	37	139	39	22	34	8	8	1	12
72	494231	6	20	15	9	13	1	73	7	53	8	7	9	20	19	19	48	100	40	7	36	4	8	9	7
73	501192	10	9	9	6	4	4	60	8	75	2	1	11	8	6	8	20	63	42	11	24	1	9	2	7
74	508153	5	22	25	9	27	4	113	6	66	13	12	44	64	15	49	31	90	68	6	25	2	22	2	27
75	515114	47	28	25	23	45	5	88	6	57	31	14	12	15	4	20	29	81	51	10	38	0	8	12	58
76	522075	33	16	29	5	43	17	87	4	59	9	10	66	5	2	20	35	104	49	7	44	2	62	13	24
77	529036	17	26	19	7	24	0	73	7	75	8	13	6	8	5	12	23	49	37	5	71	3	34	10	35
78	535997	12	20	5	4	10	1	50	21	27	32	6	11	15	8	8	24	45	29	8	156	0	8	4	15
79	542958	25	22	6	2	19	3	27	15	20	6	4	9	9	0	0	15	40	20	9	66	0	9	1	11
80	549919	0	44	19	9	4	1	46	12	26	29	1	6	3	1	0	21	33	19	9	63	4	13	2	12
81	556880	4	34	36	5	12	9	27	32	19	11	3	14	3	0	1	15	34	24	12	12	4	25	2	13
82	563841	14	36	9	1	26	6	78	22	23	10	5	14	3	0	1	23	36	28	20	25	1	33	7	16
83	570802	9	64	10	8	16	16	48	20	32	11	4	15	7	0	2	18	66	22	15	22	1	23	17	48
84	577763	4	24	18	10	4	3	85	23	82	21	8	7	6	1	0	9	32	17	9	13	1	8	5	23
85	584724	1	25	14	5	0	1	49	24	17	101	11	8	7	0	0	13	32	25	17	40	0	10	6	36
86	591685	6	82	13	5	36	17	42	40	33	21	3	29	17	0	0	15	26	46	4	30	0	7	5	25
