segmentNo	firstIdx	肝	心	脾	肺	腎	精	氣	神	血	痰	鬱	陰	陽	表	裏	寒	熱	虛	實	風	暑	濕	燥	火
59	500192	0	12	9	0	1	3	108	13	60	5	1	24	29	54	30	43	156	62	46	6	0	2	6	32
60	508816	1	4	28	1	4	1	136	1	79	2	1	7	9	32	23	33	111	63	17	16	0	7	7	15
61	517440	1	10	27	1	5	1	121	17	46	3	1	12	18	12	11	55	87	55	32	20	0	7	2	18
62	526064	11	25	24	23	22	1	105	17	48	12	3	43	54	31	18	55	120	72	23	17	0	6	5	57
63	534688	30	9	26	10	4	11	131	11	65	5	2	23	33	19	11	84	122	46	20	32	1	12	8	49
64	543312	3	7	33	12	14	26	177	11	56	2	4	29	31	15	38	54	65	126	43	4	1	0	0	17
65	551936	1	7	14	1	1	5	107	12	74	0	6	26	36	13	26	39	50	34	18	5	5	1	2	11
66	560560	2	13	21	1	9	1	153	12	80	7	6	22	25	11	33	54	102	105	38	7	0	6	3	28
67	569184	23	10	35	7	27	9	124	15	73	1	6	44	40	6	43	45	95	104	20	14	0	6	12	47
68	577808	21	9	19	53	10	2	140	10	92	15	17	12	16	23	34	38	65	46	33	27	0	1	5	18
69	586432	30	5	25	2	22	9	154	3	66	9	7	27	18	2	14	43	68	62	6	30	0	32	2	23
70	595056	54	6	46	5	43	11	126	7	87	13	3	75	16	6	15	25	123	91	12	43	0	39	10	39
71	603680	29	12	22	12	14	16	109	15	111	6	8	39	23	22	25	42	73	73	22	57	2	5	16	37
72	612304	22	19	20	36	17	13	133	6	141	17	6	120	76	16	1	69	121	41	18	56	0	38	15	56
73	620928	18	31	24	20	18	7	198	8	122	19	13	60	60	12	5	88	104	34	4	60	2	33	7	30
74	629552	20	46	20	19	19	12	171	9	125	57	9	83	50	2	2	67	108	33	25	63	1	46	11	52
75	638176	15	32	23	19	18	26	156	21	137	68	2	51	37	6	2	48	69	37	12	46	3	27	11	37
76	646800	5	13	13	12	18	25	83	8	80	13	1	83	73	12	6	62	83	62	22	36	1	8	10	44
77	655424	12	10	17	8	12	10	104	13	44	22	1	49	21	7	3	73	52	55	16	21	3	10	5	26
78	664048	14	16	37	2	20	5	77	20	72	10	6	49	25	3	1	60	75	76	11	8	0	14	3	47
79	672672	2	9	12	5	1	3	51	15	35	5	1	15	17	7	3	36	67	51	11	16	0	13	2	34
80	681296	3	65	18	10	16	13	53	38	56	9	4	21	17	4	0	22	44	83	11	19	0	6	9	24
81	689920	3	39	23	2	27	10	91	21	18	18	3	14	13	0	0	21	29	40	13	23	1	14	5	6
82	698544	0	38	28	6	0	1	62	29	12	50	14	6	10	1	1	17	32	11	18	21	12	29	2	4
83	707168	7	47	14	7	8	0	70	13	49	18	2	8	5	0	2	25	36	15	14	74	3	27	4	7
84	715792	2	59	5	3	3	3	74	22	26	10	2	7	6	5	10	27	54	15	18	46	2	7	12	15
85	724416	2	33	9	7	2	1	53	11	29	53	8	6	5	1	1	15	39	5	20	25	0	14	5	18
86	733040	10	26	1	6	3	3	38	10	8	10	4	8	33	12	5	80	78	12	7	121	4	18	6	7
87	741664	13	59	6	20	0	1	17	11	60	12	0	9	10	1	2	26	126	13	9	25	7	16	4	28
88	750288	9	38	17	7	8	5	36	18	23	14	0	26	19	0	2	56	44	51	8	22	1	12	3	22
89	758912	0	63	22	0	25	3	55	15	6	14	1	18	18	0	1	60	29	34	8	8	3	12	1	5
90	767536	14	65	4	5	14	35	37	22	22	1	1	11	10	0	2	12	29	40	9	41	0	2	4	12
91	776160	3	13	0	7	14	0	16	13	26	10	1	4	7	0	1	12	43	9	6	55	0	2	4	20
92	784784	5	16	5	1	1	1	50	12	28	0	1	15	7	1	0	10	26	10	4	19	0	9	5	18
93	793408	7	43	16	4	2	2	65	12	85	7	1	8	10	1	2	28	53	55	4	14	0	2	4	8
94	802032	10	46	23	7	7	4	41	27	54	4	3	3	8	1	1	41	61	68	15	28	2	2	4	10
95	810656	8	31	28	4	2	0	45	20	26	24	1	6	9	7	5	33	76	51	16	43	0	3	0	9
96	819280	5	13	1	11	0	3	33	13	23	4	1	2	8	21	9	14	67	16	17	51	0	3	2	16
97	827904	6	26	13	4	6	0	56	10	31	4	7	11	14	3	27	30	64	33	17	25	0	5	3	13
98	836528	1	17	0	16	0	1	53	24	40	3	4	13	17	1	7	23	33	17	6	14	0	7	2	13
99	845152	13	11	8	1	4	3	32	15	59	1	6	11	1	6	6	2	38	16	4	76	0	7	2	10
100	853776	12	10	29	10	10	3	47	15	54	7	0	14	10	2	0	43	67	44	9	49	0	10	7	32
