keyword	freq	docsize
肝	1164	868411
心	3835	868411
脾	1322	868411
肺	1299	868411
腎	1523	868411
精	1111	868411
氣	7649	868411
神	1991	868411
血	4220	868411
痰	1723	868411
鬱	527	868411
陰	3386	868411
陽	3001	868411
表	352	868411
裏	407	868411
寒	3373	868411
熱	5279	868411
虛	2749	868411
實	1404	868411
風	3805	868411
暑	313	868411
濕	1265	868411
燥	519	868411
火	2058	868411
