segmentNo	firstIdx	肝	心	脾	肺	腎	精	氣	神	血	痰	鬱	陰	陽	表	裏	寒	熱	虛	實	風	暑	濕	燥	火
59	503672	6	19	6	103	16	1	122	7	29	43	4	12	9	4	1	46	46	41	17	10	1	1	5	24
60	512356	13	27	18	12	11	3	76	34	58	25	74	5	1	1	1	13	16	10	21	4	0	9	2	13
61	521040	4	35	29	16	31	1	85	16	22	5	0	31	15	0	1	7	20	17	9	14	1	25	0	8
62	529724	3	36	18	14	19	3	113	11	32	2	3	20	27	0	1	33	50	33	13	3	1	11	9	16
63	538408	3	27	6	9	15	10	34	18	13	0	4	20	10	1	1	19	69	12	12	1	5	23	11	13
64	547092	4	20	17	0	0	0	73	7	18	19	1	70	87	8	8	125	109	32	10	34	21	7	4	6
65	555776	0	16	6	2	0	6	66	26	13	9	3	18	32	5	6	52	75	14	6	13	2	5	4	7
66	564460	10	18	3	7	4	30	85	24	32	3	9	34	44	3	4	20	89	15	14	11	0	3	1	17
67	573144	3	10	4	2	3	22	54	16	42	0	7	15	10	4	35	9	41	16	3	24	0	1	2	10
68	581828	8	44	5	26	9	11	40	12	60	10	5	17	8	4	15	32	48	9	10	16	0	8	3	18
69	590512	4	23	3	3	2	22	41	18	28	7	7	4	6	1	10	14	29	15	6	60	0	3	3	9
70	599196	14	13	2	4	2	4	34	13	22	15	7	4	4	0	3	12	37	7	3	39	0	4	1	16
71	607880	4	19	0	1	22	17	12	16	26	1	2	19	4	0	0	12	20	14	5	41	0	23	4	15
72	616564	4	19	0	1	1	2	15	17	106	0	3	6	0	0	3	12	41	7	7	14	0	4	0	30
73	625248	5	21	0	1	0	4	16	14	47	0	1	3	2	0	1	2	21	2	3	9	1	2	2	14
74	633932	6	30	0	0	1	4	65	13	41	2	5	11	16	2	0	8	25	8	7	10	1	3	0	8
75	642616	0	18	0	0	0	7	26	12	10	6	3	11	10	0	0	8	8	2	7	11	0	5	1	31
76	651300	6	34	1	2	5	46	50	18	52	15	0	44	46	0	0	7	8	14	9	6	2	2	2	19
77	659984	1	30	4	0	3	1	35	32	59	1	0	6	3	0	0	2	24	13	7	9	2	6	2	15
78	668668	4	50	3	7	3	1	34	23	113	4	6	14	1	5	3	22	51	18	2	41	0	0	1	8
79	677352	11	41	2	3	4	2	33	37	90	3	2	25	3	1	0	16	28	27	4	9	1	1	3	8
80	686036	17	53	24	22	30	6	61	22	20	13	1	24	11	2	1	20	55	32	25	68	2	8	3	19
81	694720	35	42	52	7	6	3	36	40	8	43	4	18	24	1	4	12	66	25	20	171	0	1	1	8
82	703404	19	27	26	16	16	5	23	23	14	16	3	1	1	0	0	31	146	31	13	27	6	1	0	12
83	712088	10	19	14	10	22	2	50	11	34	3	0	7	9	9	4	24	81	18	7	31	1	2	5	13
84	720772	6	16	15	5	9	4	86	12	61	11	1	4	9	16	12	40	48	45	15	17	2	5	8	14
85	729456	8	21	6	7	8	5	22	21	21	4	2	15	7	3	4	10	37	10	7	28	0	2	2	15
86	738140	14	26	13	12	19	6	79	8	21	8	3	46	42	2	1	29	37	11	21	12	1	14	9	24
87	746824	4	8	13	5	8	7	100	12	27	5	1	12	16	1	0	59	77	9	9	36	2	10	4	14
88	755508	12	29	6	13	8	16	51	10	60	5	0	35	21	0	1	43	42	26	2	38	1	4	2	17
89	764192	18	32	9	4	20	14	81	9	58	2	0	30	10	0	0	37	47	29	1	48	1	13	2	12
90	772876	8	21	8	10	7	15	55	6	53	23	1	15	6	0	1	37	50	8	18	36	2	11	5	21
91	781560	10	31	14	18	5	16	110	10	39	14	0	16	12	2	4	64	61	5	31	33	3	13	4	6
92	790244	12	33	6	13	11	20	80	7	80	10	3	84	32	6	4	53	66	24	42	63	0	24	8	18
93	798928	4	31	11	21	14	3	86	3	99	20	8	56	31	3	1	66	73	15	29	50	0	14	4	17
94	807612	5	33	7	11	9	17	68	15	50	12	1	49	21	5	4	46	46	18	34	61	0	16	1	14
95	816296	5	40	7	10	13	18	83	13	44	19	0	33	11	1	1	44	42	7	36	64	0	12	6	21
96	824980	0	37	0	3	4	24	63	21	33	13	1	32	29	0	0	32	42	15	6	28	0	2	3	80
97	833664	8	13	11	10	1	3	96	11	23	0	0	60	58	0	4	13	20	32	19	8	0	0	1	25
98	842348	3	38	1	5	7	1	11	14	9	0	0	63	88	2	3	1	9	8	0	6	0	1	0	0
99	851032	9	19	7	4	4	1	68	9	24	0	0	117	119	8	18	3	5	19	15	14	0	0	0	13
100	859716	4	18	5	4	4	4	35	17	23	2	1	51	61	2	2	1	9	39	14	59	0	3	1	11
