keyword	freq	docsize
肝	1100	696152
心	3418	696152
脾	1563	696152
肺	1298	696152
腎	1496	696152
精	847	696152
氣	7928	696152
神	1186	696152
血	4726	696152
痰	1827	696152
鬱	576	696152
陰	3451	696152
陽	3280	696152
表	774	696152
裏	867	696152
寒	3850	696152
熱	6371	696152
虛	3277	696152
實	1233	696152
風	4107	696152
暑	352	696152
濕	1671	696152
燥	701	696152
火	2485	696152
